idnr;uthestenavn
30002786;Pets Hepcat     
30002787;Apaty 
30002788;Iglan 
30002789;Crimson Catalyst     
30002790;Kometea Du Parc 
30002791;Pets Poco Bar     
30002792;Tressy 
30002793;Grety D'Ar 
30002794;Lyre Du Cadran 
30002795;Granit 
30002796;Cartinoa 
30002797;Incredible Charm 
30002798;Nerick D'Ar 
30002799;Barcos Fancy Cat     
30002800;Milita     
30002801;Sun Star V.     
30002802;Guitoune De Mare 
30002803;Rosee De Landemer 
30002804;Gelyfa De Landemer 
30002805;Opale De Landemer 
30002806;Bella Donna III 
30002807;Arlotta 
30002808;Oleoda Melody 
30002809;Dorothee 
30002810;Tabarka 
30002811;Iobarko 
30002812;In Extremis 
30002813;Ilioma 
30002814;Quilanie Du Lavoir 
30002815;Quasipyl 
30002816;Viking Sun 
30002817;Belle Du Lavoir 
30002818;Iriana Du Mont 
30002819;Querida Du Donjon 
30002820;Jessie Du Donjon 
30002821;Off Gy Du Donjon 
30002822;Ace A Classic 
30002823;GAUMUR     
30002824;St Latch     
30002825;Tender Twin Two     
30002826;St Vamah     
30002827;Skippa Missile     
30002828;St Tenderstone     
30002829;Staint Era     
30002830;Tender Era 
30002831;Tinka     
30002832;Herkules     
30002833;Hero     
30002834;Cee Bee Tender 
30002835;MÅRTEN AF TOLLSTAD     
30002836;Joe Cody     
30002837;Doc Bar Linda     
30002838;Hollywood Jac 86     
30002839;Frosted Lining     
30002840;Peppy San Bar     
30002841;Spanish Harlem     
30002842;Poco Blunder     
30002843;Miss Gray Hick     
30002844;Topsail Cody     
30002845;Julep Jac     
30002846;Sannheims Bruna     
30002847;Two Bit Tony     
30002848;Poco Lacy Britches     
30002849;Little Jacki Favor     
30002850;Poco Black Magic Two     
30002851;Slette Prins     
30002852;Icora Heilo     
30002853;Solaren     
30002854;Daddy's Joy     
30002855;Ørstad Silkefot     
30002856;Uller     
30002857;Go Tilly 
30002858;Granada Brew 
30002859;Euro Tilly 
30002860;Super Guy 
30002861;Pocos Jackie Junior 
30002862;Kvernmo Milla     
30002863;JULIAN BESTMIN     
30002864;Skjerabergs Lex Luthor     
30002865;Casper     
30002866;Skjerabergs Lookatme     
30002867;Stern Loriell     
30002868;SHARON PERSIMON     
30002869;Lightening Star     
30002870;Doc Bar     
30002871;Teresa Tivio     
30002872;Arizona Junie     
30002873;Alouette     
30002874;Amarant     
30002875;GRANE     
30002876;Adonis     
30002877;Shelby     
30002878;Solbakkens Legenderry     
30002879;CL Nick     
30002880;Skyhagens Medora     
30002881;Zenitha     
30002882;Brizett Love Supreme     
30002883;Alfas Romeo     
30002884;Alfas Domino     
30002885;Alfas Luna     
30002886;Myrstads Armani 131RH     
30002887;Myrstads Soprana     
30002888;Staro Velvet 
30002889;Miss Six of May 
30002890;Missill Jubb 
30002891;Ester Express 
30002892;Escargot Express 
30002893;Nu Rendition     
30002894;Fannys Oskar     
30002895;Ten's San Pepper     
30002896;Doc's Remedy     
30002897;Fillinic     
30002898;Nu Cash     
30002899;Lady Oskarlena     
30002900;Reminic     
30002901;Harams Riko     
30002902;Saddle Me Cash     
30002903;Tiddy Probell 
30002904;Zelda Probell 
30002905;Waltenberg Louis     
30002906;No Return 
30002907;No Return 
30002908;Helloise 
30002909;Waltenberg Odin     
30002910;A Nu Flashy Nic 
30002911;Marybell 
30002912;Upper M. 
30002913;Nulle 
30002914;Dow Jones D.E. 
30002915;Doc's Wombat     
30002916;STOKMO     
30002917;Bartend J.     
30002918;Wild Wasp     
30002919;Benji Mia     
30002920;Bill's Beggar     
30002921;Painted Lydia     
30002922;Wombats Pale Face     
30002923;Lova Benji     
30002924;DEBBIE     
30002925;Painted Bill     
30002926;Lady May Belle     
30002927;Benjiman Pale Face     
30002928;Chantil Lady     
30002929;Lady Paleface LB     
30002930;Hank-A-Chief     
30002931;Miss Del Cody     
30002932;Skip A Louie     
30002933;Showtogala     
30002934;Dee Ronni Spark     
30002935;Lousiana Mischief     
30002936;Skip A Checkers     
30002937;Gala Lou     
30002938;Suspisiousmischief     
30002939;Vic Tim Rocket     
30002940;Eidny     
30002941;LB Cat O Hara     
30002942;PÅLANDS SUNNY SATURD     
30002943;Tvaerhand LB     
