Lop;Distanse;Startnr;Kusk;StartMetode;Inntjent;Heste_navn;TidVolte;TidAuto;Bane;Dato;Navn;Id_nr;Reg_Nr;Antstarter;vinnerprosent;Trippelprosent;Galoppprosent;PlasseringSisteStart;sistestart;Trippelform;vinnerform;galoppRisiko;Dagendato;Datosistestart;Antdagersistestart;Formplassering;FormHest;Formfaktordager;FormfaktorTotal;Poemngstartnr
7;2100;1;Svein Ove Wassberg;Autostart;117.639;Final Countdown;1.16,7v;1.16,3a;Bergen Travpark ;2018-09-06;Final Countdown (NL);30108898;528010311120031;12;27.00;36.00;58.00;0;2018-08-02;43.2000000000000;32.4000000000000;69.6000000000000;2018-09-06 17:05:32.720;2018-08-02;35;0;6.0000000000000;0;16.0000000000000;10
7;2100;2;Ronny Halvorsen;Autostart;129.500;Miss Italiano T.Y.;1.16,3v;1.16,2a;  Bergen Travpark ;2018-09-06;Miss Italiano T.Y.;30084059;578001020125418;26;16.00;40.00;19.00;3;2018-08-18;104.0000000000000;41.6000000000000;49.4000000000000;2018-09-06 17:05:32.720;2018-08-18;19;10;96.2000000000000;100;216.2000000000000;10
7;2100;3;Rolf Tvedt;Autostart;227.211;Ila Håleryd;1.16,8v;1.13,2a;Bergen Travpark ;2018-09-06;Ila Håleryd (S);30115019;75200211S121989;5;0.00;40.00;0.00;0;2018-08-18;20.0000000000000;0.0000000000000;0.0000000000000;2018-09-06 17:05:32.720;2018-08-18;19;0;20.0000000000000;100;130.0000000000000;10
7;2100;4;Håkon Håvardstun;Autostart;244.333;Princess Blue;1.15,2v;1.14,1a;  Bergen Travpark ;2018-09-06;Princess Blue;30083058;578001020125176;66;8.00;29.00;21.00;0;2018-06-02;191.4000000000000;52.8000000000000;138.6000000000000;2018-09-06 17:05:32.720;2018-06-02;96;0;105.6000000000000;0;105.6000000000000;0
7;2100;5;Lars Tore Hauge;Autostart;254.250;Showmethevictory;1.16,1v;1.15,0a;  Bergen Travpark ;2018-09-06;Showmethevictory;30084299;578001020125444;57;9.00;35.00;0.00;0;2018-08-18;199.5000000000000;51.3000000000000;0.0000000000000;2018-09-06 17:05:32.720;2018-08-18;19;0;250.8000000000000;100;350.8000000000000;0
7;2100;6;Thomas Sverre Karlsen;Autostart;263.500;Neverending L.;1.16,5v;1.13,4a;  Bergen Travpark ;2018-09-06;Neverending L.;30088541;578001020135246;36;27.00;45.00;17.00;2;2018-07-31;162.0000000000000;97.2000000000000;61.2000000000000;2018-09-06 17:05:32.720;2018-07-31;37;10;198.0000000000000;0;208.0000000000000;0
7;2100;7;Jan Erik Landaas;Autostart;371.000;Key To Candy;1.16,1v;1.13,2a;  Bergen Travpark ;2018-09-06;Key To Candy;30082148;578001020125032;67;14.00;30.00;9.00;1;2018-08-18;201.0000000000000;93.8000000000000;60.3000000000000;2018-09-06 17:05:32.720;2018-08-18;19;10;234.5000000000000;100;344.5000000000000;0
7;2100;8;Pål Buer;Autostart;392.833;Sidsel;1.15,1v;1.12,4a;Bergen Travpark ;2018-09-06;Sidsel (DK);30095461;208334200900662;44;16.00;41.00;16.00;0;2018-08-02;180.4000000000000;70.4000000000000;70.4000000000000;2018-09-06 17:05:32.720;2018-08-02;35;0;180.4000000000000;0;180.4000000000000;0
7;2100;9;Øyvind Lyssand;Autostart;353.656;Wikipeaks;1.16,0v;1.14,1a;Bergen Travpark ;2018-09-06;Wikipeaks (DK);30100414;208334201100077;57;9.00;32.00;30.00;5;2018-06-21;182.4000000000000;51.3000000000000;171.0000000000000;2018-09-06 17:05:32.720;2018-06-21;77;0;62.7000000000000;0;62.7000000000000;0
7;2100;10;Rune Wiig;Autostart;363.971;Little Samo;1.15,1v;1.13,6a;Bergen Travpark ;2018-09-06;Little Samo (DE);30071657;DE-127909;90;8.00;30.00;14.00;0;2018-08-14;270.0000000000000;72.0000000000000;126.0000000000000;2018-09-06 17:05:32.720;2018-08-14;23;0;216.0000000000000;0;216.0000000000000;0
7;2100;11;Ove Wassberg;Autostart;415.703;Queenswood;1.15,4v;1.11,9a;Bergen Travpark ;2018-09-06;Queenswood (DE);30098007;DE-137241;27;22.00;52.00;4.00;2;2018-08-18;140.4000000000000;59.4000000000000;10.8000000000000;2018-09-06 17:05:32.720;2018-08-18;19;10;189.0000000000000;100;299.0000000000000;0
4;2140;1;Roya Haghighat;Volestart;204.500;Sandemoin;1.27,9v;1.26,7a;  Bjerke Travbane ;2018-09-05;Sandemoin;30014061;N-06-0763;115;2.00;14.00;26.00;5;2018-08-25;161.0000000000000;23.0000000000000;299.0000000000000;2018-09-05 13:23:32.627;2018-08-25;11;0;-115.0000000000000;100;-15.0000000000000;0
4;2160;2;Siv Emilie Løvvold;Volestart;287.432;Spang Express;1.27,4v;1.26,9a;  Bjerke Travbane ;2018-09-05;Spang Express;30077848;578001020110363;53;16.00;35.00;30.00;1;2018-08-11;185.5000000000000;84.8000000000000;159.0000000000000;2018-09-05 13:23:32.627;2018-08-11;25;10;111.3000000000000;0;121.3000000000000;0
4;2160;3;Andrea Emilie Frednes;Volestart;369.000;Elding Frøya;1.26,8v;1.24,0a;  Bjerke Travbane ;2018-09-05;Elding Frøya;30066533;578001020100250;52;6.00;38.00;12.00;0;2018-08-25;197.6000000000000;31.2000000000000;62.4000000000000;2018-09-05 13:23:32.627;2018-08-25;11;0;166.4000000000000;100;266.4000000000000;0
4;2180;4;Helene Kolle;Volestart;503.500;Troll Svenn;1.24,3v;1.24,9a;  Bjerke Travbane ;2018-09-05;Troll Svenn;30083661;578001020120461;52;35.00;54.00;48.00;0;2018-08-23;280.8000000000000;182.0000000000000;249.6000000000000;2018-09-05 13:23:32.627;2018-08-23;13;0;213.2000000000000;100;313.2000000000000;0
4;2180;5;Amanda Robertsen;Volestart;417.000;Holt Gnist;1.26,1v;1.28,7a;  Bjerke Travbane ;2018-09-05;Holt Gnist;30039338;578001020080683;119;8.00;29.00;37.00;5;2018-08-22;345.1000000000000;95.2000000000000;440.3000000000000;2018-09-05 13:23:32.627;2018-08-22;14;0;0.0000000000000;100;100.0000000000000;0
4;2180;6;Inga Lamvik;Volestart;451.429;Krokstad Juvita;1.25,5v;1.26,2a;  Bjerke Travbane ;2018-09-05;Krokstad Juvita;30036206;578001020080230;94;13.00;38.00;31.00;3;2018-08-26;357.2000000000000;122.2000000000000;291.4000000000000;2018-09-05 13:23:32.627;2018-08-26;10;10;188.0000000000000;100;298.0000000000000;0
4;2180;7;Johanne Ulrica Øveraasen;Volestart;455.955;Lome Gant;1.25,9v;1.25,9a;  Bjerke Travbane ;2018-09-05;Lome Gant;30069402;578001020100717;74;16.00;44.00;36.00;0;2018-08-17;325.6000000000000;118.4000000000000;266.4000000000000;2018-09-05 13:23:32.627;2018-08-17;19;0;177.6000000000000;100;277.6000000000000;0
4;2180;8;Maja Kanstad;Volestart;442.553;Hugo;1.25,4v;1.25,5a;  Bjerke Travbane ;2018-09-05;Hugo;30054999;578001020090625;21;11.00;32.00;5.00;5;2018-08-11;67.2000000000000;23.1000000000000;10.5000000000000;2018-09-05 13:23:32.627;2018-08-11;25;0;79.8000000000000;0;79.8000000000000;0
2;2100;1;Kristine Kvasnes;Autostart;83.065;Broadway;1.23,7v;1.15,7a;Klosterskogen Travbane ;2018-09-13;Thai Broadway;30052179;578001020095107;53;33.00;61.00;9.00;3;2018-05-16;323.3000000000000;174.9000000000000;47.7000000000000;2018-09-13 18:07:06.367;2018-05-16;120;10;450.5000000000000;0;470.5000000000000;10
