Heste_navn;Rett_navn;rettidnr;Feilidnr
Lome Orkan;Lome Orkan;30113035;30008823
Lome Teddy;Lome Teddy;30106633;30082955
Lonely Lilly;Lonely Lilly;30106990;30091019
Looking Sharp;Looking Sharp;30099905;30087358
Lord Ratzeputz;Lord Ratzeputz;30121062;30036059
Love de Villeneuve;Love de Villeneuve;30120798;30078740
Lovers Hall;Lovers Hall ;30121421;30036570
Loving Lily;Loving Lily;30109443;30098121
Lucky Bet Tooma;Lucky Bet Tooma;30120328;30087029
Lucky Kentucky;Lucky Kentucky;30098311;30049764
Lucky Strongman;Lucky Strongman;30105016;30103659
Lustra Spretten;Lustra Spretten;30083857;30092736
Lygna Duval;Lygna Duval;30077047;30092735
Lygna Gutten;Lygna Gutten;30092735;30092736
Lygna Sjur;Lygna Sjur;30098402;30068205
Lykke Mari;Lykke Mari;30104555;118169
Lykkje Silje;Lykkje Silje;30103145;30068892
Lyngås Alfa;Lyngås Alfa;30104720;124079
Lyseng Resa Oreo;Lyseng Resa Oreo;30094661;30007053
Lættis;Lættis;30106934;128419
Løset Lystig;Løset Lystig;30106989;30027556
Løve Lomen;Løve Lomen;30077206;30051617
Løvland Spøken;Løvland Spøken;30067604;30090846
M.T.Jamming Jerry;M.T.Jamming Jerry;30121270;30099605
Madame Creation;Madame Creation;30097253;30078710
Madelen L.T.C.;Madelen L.T.C.;30088522;130582
Maiko;Maiko;30119827;30051238
Maks Mollyn;Maks Mollyn;30066236;30052717
Mama's Real Deal;Mama's Real Deal;30098916;30067045
Mamie's Orlando I.G.;Mamie's Orlando I.G.;30095351;30050182
Man Of Steel;Man Of Steel;30105217;30094168
Marcello Wibb;Marcello Wibb;30121478;30084487
Marikken;Marikken;30103916;30079289
Marre R.F.;Marre R.F.;30106978;30086896
Martha Lou;Martha Lou;30118236;30057224
Martinique Decoy;Martinique Decoy;30100299;30079206
Matadore;Matadore;30122093;30065958
Mattina Matre;Mattina Matre;30103193;13913
Mega Star;Mega Star;30121483;30098752
Mellby Galanga;Mellby Galanga;30121273;30118455
Mellby Galigo;Mellby Galigo;30118455;30079821
Memphis Tennessee E.P.;Memphis Tennessee E.P.;30089604;30079250
Merkulov;Merkulov ;30117522;30086209
Merles Song;Merles Song;30119387;30100720
Messina;Messina;30105995;30097692
Milan;Milan;30109188;30092555
Milles Standpoint;Milles Standpoint;30104277;30081638
Millrebel;Millrebel;30104258;30013516
Mim's Little Diva;Mim's Little Diva;30104903;30098889
Mini Mira;Mini Mira;30103255;30053517
Mira Perla;Mira Perla;30095195;30071990
Miss Yarrah;Miss Yarrah;30109003;30093270
Mister Crowe;Mister Crowe;30092278;128426
Mjølner Apollo;Mjølner Apollo;30101155;30083912
Mjølner Faksine;Mjølner Faksine;30107141;30046899
Mjølner Loke;Mjølner Loke;30104133;30095811
Mo Mio;Mo Mio;30104435;30022003
Mo Ronja;Mo Ronja;30055760;30082037
Moddelina;Moddelina;30118303;126398
Moetiv;Moetiv;30121110;106440
Montego Bay;Montego Bay;30102539;30075953
Moonless Night;Moonless Night;30103261;130386
Moonrise;Moonrise;30102642;30088179
Moonshine Star;Moonshine Star;30097740;30004033
Morecreditforme;Morecreditforme;30104131;30098125
Motvind;Motvind;30093218;30053462
Mr. Cold Benito;Mr. Cold Benito;30037796;30007952
Muscles Else;Muscles Else;30103571;30047057
My Dream Art;My Dream Art;30121487;30100276
My Wet Dream;My Wet Dream;30100276;30103304
My Young;My Young;30104305;30025994
Mykle Kaisa;Mykle Kaisa;30105014;30088544
Møy Elden;Møy Elden;30105132;30035522
Månlykke A.M.;Månlykke A.M.;30107152;30077665
N.Y. Make It Count;N.Y. Make It Count;30099020;30067154
N.Y. Rosslyn;N.Y. Rosslyn;30104307;30097754
Nad Al Sheba;Nad Al Sheba;30066720;30104115
Neslands Lynet;Neslands Lynet;30110480;125647
Nesvik Spik'n;Nesvik Spik'n;30072123;30098715
New Yankee;New Yankee;30104980;30088271
New Young;New Young;30103532;30099031
Next Door Genius;Next Door Genius;30105395;30095177
Nice In Nice;Nice In Nice;30106991;30081293
Nicky Me;Nicky Me;30079797;30103134
Nika;Nika;30093473;30076813
Nilla Frøkna;Nilla Frøkna;30103472;30039205
Nimbus Tile;Nimbus Tile;30101020;124202
Noblesse Tile;Noblesse Tile;30100098;30100099
Nord Gyda;Nord Gyda;30106975;30077235
Nordby Eir;Nordby Eir;30097716;30034725
Nordby Elle;Nordby Elle;30097717;30065664
Nordby Flamme;Nordby Flamme;30093192;30034725
Nordby Fyr;Nordby Fyr;30093193;30082849
Nordli Alma;Nordli Alma;30104628;128911
Nordsjø Vinni;Nordsjø Vinni;30104304;126124
Notch;Notch;30121883;30078800
