 Jarlsberg-travbane;Fredag, 25. mar 2011
 Jarlsberg-travbane; Søndag, 20. mar 2011
 Jarlsberg-travbane;Fredag, 4. mar 2011
 Jarlsberg-travbane;Fredag, 25. feb 2011
 Jarlsberg-travbane;Lørdag, 29. jan 2011
 Jarlsberg-travbane; Fredag, 21. jan 2011
 Jarlsberg-travbane;Fredag, 7. jan 2011
 Jarlsberg-travbane;Fredag, 31. des 2010
 Jarlsberg-travbane;Søndag, 19. des 2010
 Jarlsberg-travbane; Fredag, 10. des 2010
 Jarlsberg-travbane;Fredag, 3. des 2010
 Jarlsberg-travbane;Fredag, 26. nov 2010
 Jarlsberg-travbane;Fredag, 19. nov 2010
 Jarlsberg-travbane; Fredag, 12. nov 2010
 Jarlsberg-travbane;Lørdag, 6. nov 2010
 Jarlsberg-travbane;Fredag, 29. okt 2010
 Jarlsberg-travbane;Fredag, 22. okt 2010
 Jarlsberg-travbane; Søndag, 17. okt 2010
 Jarlsberg-travbane;Fredag, 8. okt 2010
 Jarlsberg-travbane;Fredag, 1. okt 2010
 Jarlsberg-travbane;Fredag, 24. sept 2010
 Jarlsberg-travbane; Mandag, 20. sept 2010
 Jarlsberg-travbane;Fredag, 10. sept 2010
 Jarlsberg-travbane;Fredag, 3. sept 2010
 Jarlsberg-travbane;Lørdag, 28. aug 2010
 Jarlsberg-travbane; Fredag, 27. aug 2010
 Jarlsberg-travbane;Fredag, 20. aug 2010
 Jarlsberg-travbane;Søndag, 18. jul 2010
 Jarlsberg-travbane;Lørdag, 17. jul 2010
 Jarlsberg-travbane; Fredag, 16. jul 2010
 Jarlsberg-travbane;Torsdag, 15. jul 2010
 Jarlsberg-travbane;Onsdag, 14. jul 2010
 Jarlsberg-travbane;Fredag, 9. jul 2010
 Jarlsberg-travbane; Tirsdag, 6. jul 2010
 Jarlsberg-travbane;Torsdag, 1. jul 2010
 Jarlsberg-travbane;Fredag, 25. jun 2010
 Jarlsberg-travbane;Mandag, 21. jun 2010
 Jarlsberg-travbane; Fredag, 11. jun 2010
 Jarlsberg-travbane;Fredag, 4. jun 2010
 Jarlsberg-travbane;Fredag, 28. mai 2010
 Jarlsberg-travbane;Lørdag, 22. mai 2010
 Jarlsberg-travbane; Fredag, 21. mai 2010
 Jarlsberg-travbane;Tirsdag, 11. mai 2010
 Jarlsberg-travbane;Fredag, 7. mai 2010
 Jarlsberg-travbane;Fredag, 30. apr 2010
 Jarlsberg-travbane; Fredag, 16. apr 2010
 Jarlsberg-travbane;Fredag, 9. apr 2010
 Jarlsberg-travbane;Fredag, 26. mar 2010
 Jarlsberg-travbane;Fredag, 12. mar 2010
 Jarlsberg-travbane; Fredag, 5. mar 2010
 Jarlsberg-travbane;Lørdag, 30. jan 2010
 Jarlsberg-travbane;Fredag, 22. jan 2010
 Jarlsberg-travbane;Søndag, 17. jan 2010
 Jarlsberg-travbane; Fredag, 8. jan 2010
 Jarlsberg-travbane;Fredag, 18. des 2009
 Jarlsberg-travbane;Fredag, 11. des 2009
 Jarlsberg-travbane;Fredag, 4. des 2009
 Jarlsberg-travbane; Fredag, 27. nov 2009
 Jarlsberg-travbane;Fredag, 20. nov 2009
 Jarlsberg-travbane;Fredag, 13. nov 2009
 Jarlsberg-travbane;Lørdag, 7. nov 2009
 Jarlsberg-travbane; Fredag, 30. okt 2009
 Jarlsberg-travbane;Søndag, 18. okt 2009
 Jarlsberg-travbane;Fredag, 9. okt 2009
 Jarlsberg-travbane;Fredag, 2. okt 2009
 Jarlsberg-travbane; Fredag, 25. sept 2009
 Jarlsberg-travbane;Fredag, 18. sept 2009
 Jarlsberg-travbane;Fredag, 11. sept 2009
 Jarlsberg-travbane;Fredag, 28. aug 2009
 Jarlsberg-travbane; Lørdag, 22. aug 2009
 Jarlsberg-travbane;Fredag, 21. aug 2009
 Jarlsberg-travbane;Fredag, 14. aug 2009
 Jarlsberg-travbane;Fredag, 7. aug 2009
 Jarlsberg-travbane; Tirsdag, 4. aug 2009
 Jarlsberg-travbane;Søndag, 12. jul 2009
 Jarlsberg-travbane;Lørdag, 11. jul 2009
 Jarlsberg-travbane;Fredag, 10. jul 2009
