Stefan Arvidsson,SVERIGE,St Arv,Nei,SVERIGE,Stallansatt; trene og kjøre
Marita Arvidsson,SVERIGE,Ma Arv,Ja,Ukjent bane,Amatør; trene og kjøre
Elsa Arvidsson,SVERIGE,Arv El,Ja,Ukjent bane,Rekrutt; trene; kjøre og monté
Maria Arvidsson,SVERIGE,Arv Ma,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Malin Asklund,SVERIGE,Ma Ask,Nei,SVERIGE,Stallansatt; trene og kjøre
Ivar Asphaug,NORGE,Iv Asp,Nei,Leangen Travbane,Stallansatt; trene og kjøre
Jenny Asplund,SVERIGE,Asp Je,Ja,Bergsåker,Amatør utenlandsk; trene og kjøre
Hedda E. Assev,NORGE,He Ass,Nei,Jarlsberg Travbane,Proff trener A; trene og kjøre
Kyle Ater,U S A,Ate Ky,Nei,Ukjent bane,Proff trener A; trene og kjøre
Eric Audebert,FRANKRIKE,Er Aud,Nei,FRANKRIKE,Stallansatt; trene og kjøre
E.M. Auffray,FRANKRIKE,Auf E.,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Lena Augustsson,SVERIGE,Aug Le,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Olav Aune,NORGE,Ol Aun,Ja,Leangen Travbane,Amatør; trene og kjøre
Jan Roar Aune,SVERIGE,Ja Aun,Nei,Leangen Travbane,Proff trener A; trene og kjøre
Arne Aunhaug,NORGE,Ar Aun,Ja,Leangen Travbane,Amatør; trene og kjøre
Katarina Aurell,SVERIGE,Ka Aur,Nei,Ukjent bane,Proff trener A; trene og kjøre
Thomas Aurell,SVERIGE,Aur Th,Ja,Ukjent bane,Amatør; trene og kjøre
Sven Aurstad,SVERIGE,Aur Sv,Ja,Östersund,Amatør utenlandsk; trene og kjøre
Trine Austevoll,NORGE,Aus Tr,Ja,Bergen Travpark,Prøvekjører; kjøre
Gunnar Austevoll,NORGE,Gu Aus,Nei,Momarken Travbane,Proff trener A; trene og kjøre
Øyvind Austevoll,NORGE,Øy Aus,Nei,Bergen Travpark,Proff trener A; trene og kjøre
Ulrika Axelson,SVERIGE,Ul Axe,Ja,Ukjent bane,Amatør; trene og kjøre
Bengt L. Axelsson,SVERIGE,Be Axe,Nei,SVERIGE,Stallansatt; trene og kjøre
Nils-Olof Axelsson,SVERIGE,Ni Axe,Nei,SVERIGE,Stallansatt; trene og kjøre
Monica E. Axelsson,SVERIGE,Axe ME,Ja,Ukjent bane,Amatør; trene og kjøre
John-Erik Axelsson,SVERIGE,Axe JE,Ja,Ukjent bane,Amatør; trene og kjøre
Marlene Axelsson,SVERIGE,Axe Ma,Ja,Ukjent bane,Amatør; trene og kjøre
Nils-Olof Axelsson,SVERIGE,Axe NO,Ja,Ukjent bane,Amatør; trene og kjøre
Rune Bach Mortensen,DANMARK,Bac Ru,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Gry Vigdis Bachmann,NORGE,Gr Bac,Nei,Sørlandets Travpark,Proff trener A; trene og kjøre
Kin Backman,SVERIGE,Ki Bac,Nei,SVERIGE,Stallansatt; trene og kjøre
John Baggitt,U S A,Bag Jo,Nei,U.S.A.,Proff trener A; trene og kjøre
Hubert Baginski,TSJEKKIA,Bag Hu,Nei,Ukjent bane,Stallansatt; trene og kjøre
Marie Bagstevold,NORGE,Bag Ma,Ja,Harstad Travpark,Prøvekjører; kjøre
Vidar Bakkeli,NORGE,Vi Bak,Nei,Bjerke Travbane,Proff trener A; trene og kjøre
Jørn Harald Bakkeli,NORGE,Jø Bak,Nei,Biri Travbane,Proff trener A; trene og kjøre
Nina Bakken,NORGE,Ni Bak,Ja,Bjerke Travbane,Amatør; trene og kjøre
Robin Bakker,NEDERLAND,Ro Bak,Nei,NEDERLAND,Proff trener A; trene og kjøre
Andre Bakker,NEDERLAND,Bak An,Ja,Ukjent bane,Amatør; trene og kjøre
Mercedes Balogh,SVERIGE,Bal Me,Nei,Ukjent bane,Stallansatt; trene og kjøre
Line Barane,NORGE,Bar Li,Ja,Harstad Travpark,Prøvekjører; kjøre
Camilla Barbæk,SVERIGE,Bar Ca,Ja,Ukjent bane,Amatør; trene og kjøre
Holger Barka,NORGE,Bar Ho,Ja,Forus Travbane,Prøvekjører; kjøre
Håkon Barka,NORGE,Bar Hå,Ja,Forus Travbane,Prøvekjører; kjøre
Beate Barka,NORGE,Bar Be,Ja,Forus Travbane,Prøvekjører; kjøre
Kim Barnhoorn,NEDERLAND,Bar Ki,Ja,Ukjent bane,Amatør; trene og kjøre
Anthony Barrier,FRANKRIKE,Bar An,Ja,Ukjent bane,Amatør; trene og kjøre
Ellen Andrea Barth,NORGE,Bar EA,Ja,Klosterskogen Travbane,Prøvekjører; kjøre
Kirstine Barth,NORGE,Ki Bar,Ja,Klosterskogen Travbane,Amatør; trene og kjøre
Jostein Barth,NORGE,Jo Bar,Ja,Klosterskogen Travbane,Amatør; trene og kjøre
Jason Bartlett,U S A,Bar Ja,Nei,Ukjent bane,Proff trener A; trene og kjøre
Sebastien Baude,FRANKRIKE,Bau Se,Nei,Ukjent bane,Proff trener A; trene og kjøre
Louis Baudron,FRANKRIKE,Bau Lo,Ja,Ukjent bane,Amatør; trene og kjøre
W. Baudy,FRANKRIKE,Bau W.,Ja,Ukjent bane,Amatør utenlandsk; trene og kjøre
Manfred Baumann,SVERIGE,Ma Bau,Nei,SVERIGE,Stallansatt; trene og kjøre
John Bax,CANADA,Jo Bax,Nei,CANADA,Proff trener A; trene og kjøre
