 Bjerke-Travbane;Onsdag, 1. mar 2017
 Bjerke-Travbane;Lørdag, 25. feb 2017
 Bjerke-Travbane;Torsdag, 23. feb 2017
 Bjerke-Travbane; Onsdag, 22. feb 2017
 Bjerke-Travbane;Torsdag, 16. feb 2017
 Bjerke-Travbane;Onsdag, 15. feb 2017
 Bjerke-Travbane;Torsdag, 9. feb 2017
 Bjerke-Travbane; Onsdag, 8. feb 2017
 Bjerke-Travbane;Torsdag, 2. feb 2017
 Bjerke-Travbane;Onsdag, 1. feb 2017
 Bjerke-Travbane;Onsdag, 25. jan 2017
 Bjerke-Travbane; Lørdag, 21. jan 2017
 Bjerke-Travbane;Onsdag, 18. jan 2017
 Bjerke-Travbane;Torsdag, 12. jan 2017
 Bjerke-Travbane;Onsdag, 11. jan 2017
 Bjerke-Travbane; Onsdag, 4. jan 2017
 Bjerke-Travbane;Lørdag, 31. des 2016
 Bjerke-Travbane;Fredag, 30. des 2016
 Bjerke-Travbane;Onsdag, 28. des 2016
 Bjerke-Travbane; Torsdag, 22. des 2016
 Bjerke-Travbane;Onsdag, 21. des 2016
 Bjerke-Travbane;Lørdag, 17. des 2016
 Bjerke-Travbane;Torsdag, 15. des 2016
 Bjerke-Travbane; Onsdag, 14. des 2016
 Bjerke-Travbane;Torsdag, 8. des 2016
 Bjerke-Travbane;Onsdag, 7. des 2016
 Bjerke-Travbane;Tirsdag, 6. des 2016
 Bjerke-Travbane; Torsdag, 1. des 2016
 Bjerke-Travbane;Onsdag, 30. nov 2016
 Bjerke-Travbane;Torsdag, 24. nov 2016
 Bjerke-Travbane;Onsdag, 23. nov 2016
